id;placed_date;status;code
1;2020-09-21T06:42:15;COMPLETED;Georgia calculate withdrawal
2;2020-09-20T17:38:45;COMPLETED;compress Steel out-of-the-box
3;2020-09-20T19:09:57;PENDING;Concrete
4;2020-09-21T08:35:52;CANCELLED;Investment Account
5;2020-09-20T19:52:42;PENDING;United States of America
6;2020-09-21T10:04:46;CANCELLED;IB Industrial Credit Card Account
7;2020-09-21T13:11:11;CANCELLED;Cotton Egyptian Pound
8;2020-09-20T22:07:15;COMPLETED;Home Loan Account
9;2020-09-21T07:01:31;COMPLETED;Human
10;2020-09-20T17:10:09;CANCELLED;payment
